BDID	EGID	TAXID	SYMBOL	DESCRIPTION	HOMOLOGENE
1450784_at	53614	10090	Reck	reversion-inducing-cysteine-rich protein with kazal motifs	9622
1448204_at	64010	10090	Sav1	salvador family WW domain containing 1	32517
1437734_at	17931	10090	Ppp1r12a	protein phosphatase 1, regulatory (inhibitor) subunit 12A	1855
1416428_at	59016	10090	Thap11	THAP domain containing 11	10726
1416948_at	19935	10090	Mrpl23	mitochondrial ribosomal protein L23	7922
1455470_x_at	16796	10090	Lasp1	LIM and SH3 protein 1	4480
1421917_at	18595	10090	Pdgfra	platelet derived growth factor receptor, alpha polypeptide	31361
1450400_at	116940	10090	Tgs1	trimethylguanosine synthase 1	32608
1423706_a_at	110208	10090	Pgd	phosphogluconate dehydrogenase	68268
1415946_at	14755	10090	Pigq	phosphatidylinositol glycan anchor biosynthesis, class Q	31228
1428669_at	107771	10090	Bmyc	brain expressed myelocytomatosis oncogene	11343
1434643_at	21372	10090	Tbl1x	transducin (beta)-like 1 X-linked	4128
1434552_at	70465	10090	Wdr77	WD repeat domain 77	11466
1429013_at	78283	10090	Map7d2	MAP7 domain containing 2	45149
1420129_s_at	28088	10090	Rtcb	RNA 2',3'-cyclic phosphate and 5'-OH ligase	36344
1421923_at	24056	10090	Sh3bp5	SH3-domain binding protein 5 (BTK-associated)	23450
1454808_at	68514	10090	Micu2	mitochondrial calcium uptake 2	12516
1426778_at	13138	10090	Dag1	dystroglycan 1	3234
1437785_at	101401	10090	Adamts9	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 9	18821
1417644_at	16651	10090	Sspn	sarcospan	3727
1417125_at	269378	10090	Ahcy	S-adenosylhomocysteine hydrolase	554
1436364_x_at	18032	10090	Nfix	nuclear factor I/X	1872
1415827_a_at	28146	10090	Serp1	stress-associated endoplasmic reticulum protein 1	8691
1416368_at	14860	10090	Gsta4	glutathione S-transferase, alpha 4	135605
1448361_at	22129	10090	Ttc3	tetratricopeptide repeat domain 3	2487
1437109_s_at	78651	10090	Lsm6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated	38271
1450430_at	17533	10090	Mrc1	mannose receptor, C type 1	37622
1416165_at	106572	10090	Rab31	RAB31, member RAS oncogene family	5001
1422890_at	73173	10090	Pcdh18	protocadherin 18	10389
1417777_at	67103	10090	Ptgr1	prostaglandin reductase 1	40820
1435478_at	226757	10090	Wdr26	WD repeat domain 26	11857
1433900_at	71667	10090	Tmem248	transmembrane protein 248	9951
1423740_a_at	433287	10090	Gm15455	predicted gene 15455	-
1423740_a_at	236732	10090	Rbm10	RNA binding motif protein 10	31330
1448735_at	12870	10090	Cp	ceruloplasmin	75
1455719_at	22154	10090	Tubb5	tubulin, beta 5 class I	69099
1427992_a_at	19328	10090	Rab12	RAB12, member RAS oncogene family	103879
1425404_a_at	69179	10090	Tmem110	transmembrane protein 110	7082
1428385_at	71779	10090	March8	membrane-associated ring finger (C3HC4) 8	12412
1436451_a_at	56334	10090	Tmed2	transmembrane p24 trafficking protein 2	55991
1436451_a_at	100862175	10090	Gm10698	predicted gene 10698	55991
1448222_x_at	12868	10090	Cox8a	cytochrome c oxidase subunit VIIIa	3006
1439543_at	68893	10090	1110064A23Rik	RIKEN cDNA 1110064A23 gene	-
1450857_a_at	12843	10090	Col1a2	collagen, type I, alpha 2	69
1457751_at	233532	10090	Rsf1	remodeling and spacing factor 1	41142
1436047_at	269037	10090	Ctif	CBP80/20-dependent translation initiation factor	56682
1453071_s_at	68304	10090	Kdelc2	KDEL (Lys-Asp-Glu-Leu) containing 2	17805
1456795_at	666938	10090	Bend4	BEN domain containing 4	52626
1449007_at	12228	10090	Btg3	B cell translocation gene 3	4953
1449007_at	654432	10090	Gm7334	B-cell translocation gene 3 pseudogene	-
1460004_x_at	58244	10090	Stx6	syntaxin 6	115622
1433776_at	108927	10090	Lhfp	lipoma HMGIC fusion partner	4223
1422933_at	574438	10090	Xlr5a	X-linked lymphocyte-regulated 5A	41832
1422933_at	27084	10090	Xlr5c	X-linked lymphocyte-regulated 5C	41832
1422933_at	627081	10090	Xlr5b	X-linked lymphocyte-regulated 5B	41832
1419976_s_at	18021	10090	Nfatc3	nuclear factor of activated T cells, cytoplasmic, calcineurin dependent 3	27827
1425516_at	108155	10090	Ogt	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	9675
1452836_at	64898	10090	Lpin2	lipin 2	8769
1416814_at	21841	10090	Tia1	cytotoxic granule-associated RNA binding protein 1	20692
1429321_at	67702	10090	Rnf149	ring finger protein 149	18337
1428725_at	17344	10090	Pias2	protein inhibitor of activated STAT 2	20979
1424683_at	66270	10090	Retreg1	reticulophagy regulator 1	10368
1423684_at	15387	10090	Hnrnpk	heterogeneous nuclear ribonucleoprotein K	81909
1418507_s_at	216233	10090	Socs2	suppressor of cytokine signaling 2	2880
1426694_at	71517	10090	9030624J02Rik	RIKEN cDNA 9030624J02 gene	10659
1452768_at	21766	10090	Tex261	testis expressed gene 261	6131
1438967_x_at	110542	10090	Amhr2	anti-Mullerian hormone type 2 receptor	10746
1448756_at	20202	10090	S100a9	S100 calcium binding protein A9 (calgranulin B)	2227
1418895_at	54353	10090	Skap2	src family associated phosphoprotein 2	2919
1416161_at	19357	10090	Rad21	RAD21 cohesin complex component	38161
1419152_at	68026	10090	Pclaf	PCNA clamp associated factor	8829
1448957_at	19664	10090	Rbpj	recombination signal binding protein for immunoglobulin kappa J region	7511
1433585_at	238799	10090	Tnpo1	transportin 1	5358
1452757_s_at	110257	10090	Hba-a2	hemoglobin alpha, adult chain 2	469
1452757_s_at	15122	10090	Hba-a1	hemoglobin alpha, adult chain 1	469
1431036_a_at	56334	10090	Tmed2	transmembrane p24 trafficking protein 2	55991
1431036_a_at	100862175	10090	Gm10698	predicted gene 10698	55991
1454849_x_at	12759	10090	Clu	clusterin	1382
1451691_at	13617	10090	Ednra	endothelin receptor type A	1478
1416731_at	21974	10090	Top2b	topoisomerase (DNA) II beta	134711
1424748_at	231050	10090	Galnt11	polypeptide N-acetylgalactosaminyltransferase 11	11126
1424473_at	245841	10090	Polr2h	polymerase (RNA) II (DNA directed) polypeptide H	4540
1439059_at	245622	10090	Fam199x	family with sequence similarity 199, X-linked	17156
1416685_s_at	14113	10090	Fbl	fibrillarin	1099
1450664_at	14390	10090	Gabpa	GA repeat binding protein, alpha	1543
1422449_s_at	26611	10090	Rcn2	reticulocalbin 2	2176
1438631_x_at	234875	10090	Ttc13	tetratricopeptide repeat domain 13	11569
1424024_at	193813	10090	Mcfd2	multiple coagulation factor deficiency 2	44552
1416953_at	14219	10090	Ctgf	connective tissue growth factor	1431
1429053_at	68617	10090	Mtcl1	microtubule crosslinking factor 1	41017
1416411_at	14863	10090	Gstm2	glutathione S-transferase, mu 2	121492
1438556_a_at	50875	10090	Tmod3	tropomodulin 3	8727
1455149_at	59009	10090	Sh3rf1	SH3 domain containing ring finger 1	10988
1450026_a_at	53625	10090	B3gnt2	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2	4797
1451152_a_at	11931	10090	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide	37509
1428404_at	381668	10090	Fbrsl1	fibrosin-like 1	45966
1441389_at	-	-	-	-	-
1433430_s_at	52563	10090	Cdc23	CDC23 cell division cycle 23	3426
1448524_s_at	20832	10090	Ssr4	signal sequence receptor, delta	4573
1433613_at	211347	10090	Pank3	pantothenate kinase 3	56999
1436774_at	20338	10090	Sel1l	sel-1 suppressor of lin-12-like (C. elegans)	31286
1448406_at	58521	10090	Eid1	EP300 interacting inhibitor of differentiation 1	49376
1417490_at	13030	10090	Ctsb	cathepsin B	37550
1455017_a_at	56364	10090	Zmym3	zinc finger, MYM-type 3	3736
1415840_at	68801	10090	Elovl5	ELOVL family member 5, elongation of long chain fatty acids (yeast)	41449
1420890_at	15159	10090	Hccs	holocytochrome c synthetase	3897
1437658_a_at	83673	10090	Snhg1	small nucleolar RNA host gene 1	-
1427058_at	13681	10090	Eif4a1	eukaryotic translation initiation factor 4A1	103998
1424477_at	231832	10090	Tmem184a	transmembrane protein 184a	64815
1418017_at	80913	10090	Pum2	pumilio RNA-binding family member 2	69183
1447277_s_at	66881	10090	Pcyox1	prenylcysteine oxidase 1	9458
1438006_at	66771	10090	Gid4	GID complex subunit 4, VID24 homolog	5971
1438953_at	14205	10090	Vegfd	vascular endothelial growth factor D	3288
1417106_at	66314	10090	Tpd52l2	tumor protein D52-like 2	2469
1417512_at	14020	10090	Evi5	ecotropic viral integration site 5	121902
1456013_x_at	67843	10090	Slc35a4	solute carrier family 35, member A4	12195
1449396_at	11754	10090	Aoc3	amine oxidase, copper containing 3	2770
1429154_at	72022	10090	Slc35f2	solute carrier family 35, member F2	36363
1438009_at	319164	10090	Hist1h2ac	histone cluster 1, H2ac	134305
1438009_at	319191	10090	Hist1h2ai	histone cluster 1, H2ai	135791
1438009_at	319166	10090	Hist1h2ae	histone cluster 1, H2ae	136768
1438009_at	665433	10090	Hist1h2ao	histone cluster 1, H2ao	130459
1438009_at	319171	10090	Hist1h2ap	histone cluster 1, H2ap	134480
1438009_at	319168	10090	Hist1h2ah	histone cluster 1, H2ah	119667
1438009_at	319167	10090	Hist1h2ag	histone cluster 1, H2ag	135982
1438009_at	319170	10090	Hist1h2an	histone cluster 1, H2an	137349
1438009_at	319165	10090	Hist1h2ad	histone cluster 1, H2ad	136769
1438009_at	319172	10090	Hist1h2ab	histone cluster 1, H2ab	137350
1430982_at	102641923	-	-	-	-
1430982_at	110809	10090	Srsf1	serine/arginine-rich splicing factor 1	31411
1451723_at	231464	10090	Cnot6l	CCR4-NOT transcription complex, subunit 6-like	100830
1428412_at	107358	10090	Tm9sf3	transmembrane 9 superfamily member 3	10588
1433572_a_at	218236	10090	Fam120a	family with sequence similarity 120, member A	8752
1417001_a_at	27981	10090	Rsrp1	arginine/serine rich protein 1	-
1433695_at	380686	10090	Cnrip1	cannabinoid receptor interacting protein 1	9153
1460308_a_at	68572	10090	Mrpl58	mitochondrial ribosomal protein L58	1185
1436195_at	192976	10090	Lrrc75a	leucine rich repeat containing 75A	65996
1460582_x_at	-	-	-	-	-
1460179_at	15502	10090	Dnaja1	DnaJ heat shock protein family (Hsp40) member A1	55588
1452014_a_at	16000	10090	Igf1	insulin-like growth factor 1	515
1424283_at	23922	10090	Jtb	jumping translocation breakpoint	4870
1423557_at	15980	10090	Ifngr2	interferon gamma receptor 2	4041
1452734_at	100037283	10090	Rnaset2a	ribonuclease T2A	31190
1452734_at	68195	10090	Rnaset2b	ribonuclease T2B	31190
1448379_at	101185	10090	Pot1a	protection of telomeres 1A	32263
1415775_at	245688	10090	Rbbp7	retinoblastoma binding protein 7, chromatin remodeling factor	55702
1449126_at	22751	10090	Zfp90	zinc finger protein 90	86800
1415734_at	19349	10090	Rab7	RAB7, member RAS oncogene family	3408
1450938_at	18949	10090	Pnn	pinin	37656
1448908_at	67916	10090	Plpp3	phospholipid phosphatase 3	15410
1426226_at	13548	10090	Dyrk1a	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1a	55576
1424254_at	68713	10090	Ifitm1	interferon induced transmembrane protein 1	135938
1436027_at	106326	10090	Osbpl11	oxysterol binding protein-like 11	23385
1426539_at	236733	10090	Usp11	ubiquitin specific peptidase 11	31252
1451018_at	68192	10090	Leprotl1	leptin receptor overlapping transcript-like 1	41031
1416873_a_at	12566	10090	Cdk2	cyclin-dependent kinase 2	74409
1433439_at	266692	10090	Cpne1	copine I	36501
1438157_s_at	18035	10090	Nfkbia	nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha	7863
1428506_at	108147	10090	Atic	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2983
1416855_at	14451	10090	Gas1	growth arrest specific 1	1548
1434316_at	269941	10090	Chsy1	chondroitin sulfate synthase 1	8950
1448515_at	22099	10090	Tsn	translin	3397
1436379_at	70461	10090	Crtc3	CREB regulated transcription coactivator 3	11248
1439411_a_at	65246	10090	Xpo7	exportin 7	22857
1454993_a_at	20383	10090	Srsf3	serine/arginine-rich splicing factor 3	55708
1433954_at	74038	10090	Brip1os	BRCA1 interacting protein C-terminal helicase 1, opposite strand	-
1415771_at	17975	10090	Ncl	nucleolin	136488
1435122_x_at	13433	10090	Dnmt1	DNA methyltransferase (cytosine-5) 1	124071
1434663_at	76789	10090	Mzt1	mitotic spindle organizing protein 1	45495
1427941_at	192119	10090	Dicer1	dicer 1, ribonuclease type III	13251
1433576_at	232087	10090	Mat2a	methionine adenosyltransferase II, alpha	38112
1416258_at	21877	10090	Tk1	thymidine kinase 1	37749
1434659_at	78937	10090	Avl9	AVL9 cell migration associated	62425
1430980_a_at	13681	10090	Eif4a1	eukaryotic translation initiation factor 4A1	103998
1417647_at	69178	10090	Snx5	sorting nexin 5	40944
1456088_at	11798	10090	Xiap	X-linked inhibitor of apoptosis	901
1424265_at	74091	10090	Npl	N-acetylneuraminate pyruvate lyase	12533
1456865_x_at	59014	10090	Rrs1	ribosome biogenesis regulator 1	41014
1437064_at	11835	10090	Ar	androgen receptor	28
1448199_at	102334	10090	Ankrd10	ankyrin repeat domain 10	9768
1454011_a_at	19891	10090	Rpa2	replication protein A2	37712
1423217_a_at	67922	10090	Fam32a	family with sequence similarity 32, member A	121567
1426531_at	66505	10090	Zmynd11	zinc finger, MYND domain containing 11	4828
1421858_at	11491	10090	Adam17	a disintegrin and metallopeptidase domain 17	2395
1417937_at	59036	10090	Dact1	dishevelled-binding antagonist of beta-catenin 1	9613
1424850_at	26401	10090	Map3k1	mitogen-activated protein kinase kinase kinase 1	8056
1439945_at	78619	10090	Zfp449	zinc finger protein 449	23700
1426402_at	56403	10090	Syncrip	synaptotagmin binding, cytoplasmic RNA interacting protein	4648
1418012_at	54673	10090	Sh3glb1	SH3-domain GRB2-like B1 (endophilin)	9337
1437339_s_at	18552	10090	Pcsk5	proprotein convertase subtilisin/kexin type 5	21244
1417542_at	20112	10090	Rps6ka2	ribosomal protein S6 kinase, polypeptide 2	100680
1434395_at	17156	10090	Man1a2	mannosidase, alpha, class 1A, member 2	55982
1429384_at	70425	10090	Csnk1g3	casein kinase 1, gamma 3	121650
1460121_at	399612	10090	9630010G10Rik	RIKEN cDNA 9630010G10 gene	-
1438083_at	15245	10090	Hhip	Hedgehog-interacting protein	32469
1417933_at	16012	10090	Igfbp6	insulin-like growth factor binding protein 6	1641
1434219_at	116873	10090	Stim2	stromal interaction molecule 2	32490
1433704_s_at	69276	10090	Sec62	SEC62 homolog (S. cerevisiae)	2449
1455911_x_at	104130	10090	Ndufb11	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 11	10398
1435088_at	18193	10090	Nsd1	nuclear receptor-binding SET-domain protein 1	32543
1416684_at	14113	10090	Fbl	fibrillarin	1099
1456765_at	100042480	10090	Nhsl2	NHS-like 2	19759
1427465_at	98660	10090	Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide	47947
1419184_a_at	14200	10090	Fhl2	four and a half LIM domains 2	20372
1451979_at	16653	10090	Kras	Kirsten rat sarcoma viral oncogene homolog	37990
1427580_a_at	75745	10090	Rian	RNA imprinted and accumulated in nucleus	-
1437419_at	140780	10090	Bmp2k	BMP2 inducible kinase	34134
1423493_a_at	18032	10090	Nfix	nuclear factor I/X	1872
1419156_at	20677	10090	Sox4	SRY (sex determining region Y)-box 4	2338
1433784_at	208292	10090	Zfp871	zinc finger protein 871	138401
1448987_at	11363	10090	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	37498
1455562_at	20667	10090	Sox12	SRY (sex determining region Y)-box 12	5057
1424291_at	71805	10090	Nup93	nucleoporin 93	40971
1416209_at	14661	10090	Glud1	glutamate dehydrogenase 1	55885
1430588_at	71263	10090	Mro	maestro	41729
1460506_s_at	68197	10090	Ndufc2	NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 2	3344
1460506_s_at	102641347	10090	LOC102641347	NADH dehydrogenase [ubiquinone] 1 subunit C2	-
1454703_x_at	83673	10090	Snhg1	small nucleolar RNA host gene 1	-
1419645_at	108062	10090	Cstf2	cleavage stimulation factor, 3' pre-RNA subunit 2	80171
1449109_at	216233	10090	Socs2	suppressor of cytokine signaling 2	2880
1448556_at	19116	10090	Prlr	prolactin receptor	733
1422441_x_at	12567	10090	Cdk4	cyclin-dependent kinase 4	55429
1436921_at	11977	10090	Atp7a	ATPase, Cu++ transporting, alpha polypeptide	35
1416757_at	68014	10090	Zwilch	zwilch kinetochore protein	32381
1448892_at	67299	10090	Dock7	dedicator of cytokinesis 7	23566
1416981_at	56458	10090	Foxo1	forkhead box O1	1527
1416251_at	17219	10090	Mcm6	minichromosome maintenance complex component 6	4322
1433724_at	210998	10090	Fam91a1	family with sequence similarity 91, member A1	13388
1423169_at	24074	10090	Taf7	TATA-box binding protein associated factor 7	133942
1449248_at	12724	10090	Clcn2	chloride channel, voltage-sensitive 2	3213
1438195_at	333433	10090	Gpd1l	glycerol-3-phosphate dehydrogenase 1-like	56097
1438945_x_at	14609	10090	Gja1	gap junction protein, alpha 1	136
1438779_at	12828	10090	Col4a3	collagen, type IV, alpha 3	68033
1433496_at	234407	10090	Colgalt1	collagen beta(1-O)galactosyltransferase 1	23465
1422594_at	66641	10090	Sike1	suppressor of IKBKE 1	32622
1435926_at	12663	10090	Chml	choroideremia-like	31055
1449111_a_at	14784	10090	Grb2	growth factor receptor bound protein 2	1576
1451109_a_at	17999	10090	Nedd4	neural precursor cell expressed, developmentally down-regulated 4	134533
1416598_at	83396	10090	Glis2	GLIS family zinc finger 2	12821
1448830_at	19252	10090	Dusp1	dual specificity phosphatase 1	3254
1426832_at	236790	10090	Ints6l	integrator complex subunit 6 like	52110
1418274_at	621832	10090	Nutf2-ps2	nuclear transport factor 2, pseudogene 2	110745
1418274_at	100043462	10090	Nutf2-ps1	nuclear transport factor 2, pseudogene 1	-
1418274_at	668830	10090	Gm9386	predicted pseudogene 9386	-
1418274_at	68051	10090	Nutf2	nuclear transport factor 2	110745
1448975_s_at	19702	10090	Ren2	renin 2 tandem duplication of Ren1	-
1448975_s_at	19701	10090	Ren1	renin 1 structural	20151
1417609_at	22209	10090	Ube2a	ubiquitin-conjugating enzyme E2A	68308
1416072_at	12490	10090	Cd34	CD34 antigen	1343
1420064_s_at	83553	10090	Tktl1	transketolase-like 1	8169
1434624_x_at	76846	10090	Rps9	ribosomal protein S9	68145
1417580_s_at	20341	10090	Selenbp1	selenium binding protein 1	2930
1448642_at	23983	10090	Pcbp1	poly(rC) binding protein 1	68506
1424836_a_at	76499	10090	Clasp2	CLIP associating protein 2	24944
1437468_x_at	103583	10090	Fbxw11	F-box and WD-40 domain protein 11	76444
1426678_at	68036	10090	Zfp706	zinc finger protein 706	128235
1426678_at	100042023	10090	Gm10193	predicted gene 10193	133805
1437690_x_at	104318	10090	Csnk1d	casein kinase 1, delta	74841
1433633_at	270110	10090	Irf2bp2	interferon regulatory factor 2 binding protein 2	34290
1434286_at	83925	10090	Trps1	transcriptional repressor GATA binding 1	8556
1433674_a_at	83673	10090	Snhg1	small nucleolar RNA host gene 1	-
1418285_at	13641	10090	Efnb1	ephrin B1	3263
1428341_at	72611	10090	Zfp655	zinc finger protein 655	12473
1449200_at	170762	10090	Nup155	nucleoporin 155	43155
1460323_at	110960	10090	Tars	threonyl-tRNA synthetase	11852
1416985_at	19261	10090	Sirpa	signal-regulatory protein alpha	7246
1438658_a_at	13610	10090	S1pr3	sphingosine-1-phosphate receptor 3	3829
1427985_at	270624	10090	Spin4	spindlin family, member 4	18701
1428945_at	231380	10090	Uba6	ubiquitin-like modifier activating enzyme 6	10080
1428103_at	11487	10090	Adam10	a disintegrin and metallopeptidase domain 10	865
1422444_at	16403	10090	Itga6	integrin alpha 6	20091
1433938_at	209456	10090	Trp53bp2	transformation related protein 53 binding protein 2	3959
1448823_at	20315	10090	Cxcl12	chemokine (C-X-C motif) ligand 12	128606
1426842_at	229096	10090	Ythdf3	YTH domain family 3	34991
1434691_at	72193	10090	Scaf11	SR-related CTD-associated factor 11	37957
1425185_at	78825	10090	Desi2	desumoylating isopeptidase 2	56741
1423677_at	27055	10090	Fkbp9	FK506 binding protein 9	31434
1448116_at	22201	10090	Uba1	ubiquitin-like modifier activating enzyme 1	22002
1454677_at	21858	10090	Timp2	tissue inhibitor of metalloproteinase 2	2444
1415680_at	17222	10090	Anapc1	anaphase promoting complex subunit 1	7414
1453032_at	19070	10090	Mob4	MOB family member 4, phocein	9116
1428970_at	72117	10090	Naa50	N(alpha)-acetyltransferase 50, NatE catalytic subunit	11851
1452035_at	12826	10090	Col4a1	collagen, type IV, alpha 1	20437
1417038_at	53860	10090	Sept9	septin 9	90949
1416659_at	13669	10090	Eif3a	eukaryotic translation initiation factor 3, subunit A	2779
1435011_x_at	58810	10090	Akr1a1	aldo-keto reductase family 1, member A1 (aldehyde reductase)	74565
1451679_at	76219	10090	Arxes1	adipocyte-related X-chromosome expressed sequence 1	133090
1451679_at	76976	10090	Arxes2	adipocyte-related X-chromosome expressed sequence 2	133090
1455972_x_at	15107	10090	Hadh	hydroxyacyl-Coenzyme A dehydrogenase	55888
1435900_at	71834	10090	Zbtb43	zinc finger and BTB domain containing 43	8514
1423649_at	72098	10090	Tmem68	transmembrane protein 68	12440
1416000_a_at	100862012	10090	Gm21399	peroxiredoxin pseudogene 2	-
1416000_a_at	18477	10090	Prdx1	peroxiredoxin 1	99789
1420374_at	60611	10090	Foxj2	forkhead box J2	10187
1425521_at	218693	10090	Paip1	polyadenylate binding protein-interacting protein 1	4709
1433803_at	16451	10090	Jak1	Janus kinase 1	1678
1449089_at	268903	10090	Nrip1	nuclear receptor interacting protein 1	2606
1448260_at	22223	10090	Uchl1	ubiquitin carboxy-terminal hydrolase L1	37894
1418822_a_at	11845	10090	Arf6	ADP-ribosylation factor 6	1256
1439189_at	329679	10090	Fnip2	folliculin interacting protein 2	46417
1424005_at	78521	10090	B230219D22Rik	RIKEN cDNA B230219D22 gene	17572
1428528_at	67604	10090	Get4	golgi to ER traffic protein 4	41080
1428228_at	109785	10090	Pgm3	phosphoglucomutase 3	9205
1438951_x_at	269113	10090	Nup54	nucleoporin 54	41169
1427884_at	12825	10090	Col3a1	collagen, type III, alpha 1	55433
1415961_at	64294	10090	Itm2c	integral membrane protein 2C	11186
1416845_at	98170	10090	Tmem132a	transmembrane protein 132A	75076
1418726_a_at	21956	10090	Tnnt2	troponin T2, cardiac	68050
1443437_at	633285	10090	Rbm46	RNA binding motif protein 46	17016
1426985_s_at	72826	10090	Fam76b	family with sequence similarity 76, member B	25107
1436817_at	105504	10090	Exoc5	exocyst complex component 5	38195
1449243_a_at	20085	10090	Rps19	ribosomal protein S19	37416
1416708_a_at	52857	10090	Gramd1a	GRAM domain containing 1A	10843
1433835_at	19056	10090	Ppp3cb	protein phosphatase 3, catalytic subunit, beta isoform	56429
1423664_at	110391	10090	Qdpr	quinoid dihydropteridine reductase	271
1415684_at	11793	10090	Atg5	autophagy related 5	3566
1441788_s_at	245474	10090	Dkc1	dyskeratosis congenita 1, dyskerin	1045
1426548_a_at	66632	10090	Dph6	diphthamine biosynthesis 6	80244
1423353_at	83691	10090	Crispld1	cysteine-rich secretory protein LCCL domain containing 1	12857
1420000_s_at	18518	10090	Igbp1	immunoglobulin (CD79A) binding protein 1	44067
1455238_at	245631	10090	Mum1l1	melanoma associated antigen (mutated) 1-like 1	51851
1452401_at	60532	10090	Wtap	Wilms tumour 1-associating protein	68422
1422414_a_at	12313	10090	Calm1	calmodulin 1	116117
1422414_a_at	12314	10090	Calm2	calmodulin 2	116117
1422414_a_at	12315	10090	Calm3	calmodulin 3	116117
1417367_at	19052	10090	Ppp2ca	protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform	37660
1419484_a_at	14467	10090	Nipsnap2	nipsnap homolog 2	1137
1416262_at	67226	10090	Tmem19	transmembrane protein 19	10107
1450082_s_at	104156	10090	Etv5	ets variant 5	3276
1424801_at	13800	10090	Enah	enabled homolog (Drosophila)	134005
1426632_at	233529	10090	Kctd14	potassium channel tetramerisation domain containing 14	11396
1415801_at	14609	10090	Gja1	gap junction protein, alpha 1	136
1423083_at	19338	10090	Rab33b	RAB33B, member RAS oncogene family	9642
1425764_a_at	12036	10090	Bcat2	branched chain aminotransferase 2, mitochondrial	81684
1451254_at	230233	10090	Ikbkap	inhibitor of kappa light polypeptide enhancer in B cells, kinase complex-associated protein	2699
1417480_at	71538	10090	Fbxo9	f-box protein 9	8217
1416589_at	20692	10090	Sparc	secreted acidic cysteine rich glycoprotein	31132
1436399_s_at	27206	10090	Nrk	Nik related kinase	8442
1449404_at	18718	10090	Pip4k2a	phosphatidylinositol-5-phosphate 4-kinase, type II, alpha	37995
1420941_at	19737	10090	Rgs5	regulator of G-protein signaling 5	2682
1450905_at	54712	10090	Plxnc1	plexin C1	4211
1424500_at	216987	10090	Utp6	UTP6 small subunit processome component	41265
1436809_a_at	20729	10090	Spin1	spindlin 1	55983
1460591_at	13982	10090	Esr1	estrogen receptor 1 (alpha)	47906
